Title,Author,Genre,PublishedYear,ISBN
"territo fuga illo officiis","Alexandrea Jacobi",Fiction,1951,8dfb9cf7-7f23-483f-8ef9-0601a0101c93
"una appono coadunatio","Bo Koelpin",Mystery,1970,02298bfc-7466-45ca-a3d9-29f52b80f850
"tempus apto aliquam vestigium","Gage Langworth",History,1971,f9766321-f63e-43bd-8ab0-c95818df7f35
"quos bibo suspendo","Dortha Murray",Fiction,1985,f3dbf645-e104-4f02-8bcb-b15fa6f5f2ab
"porro peccatus articulus provident tabella","Nicolette Treutel",Science Fiction,1951,7d904937-02b1-438f-8d27-75b4c32c1302
"arcus asperiores vetus quaerat sulum","Tristian Mosciski",Romance,1953,f93f6d6b-7239-4a6b-a738-a7f584abfaae
"cimentarius delicate valeo cumque","Carter Spinka",Non-Fiction,1990,397e5d28-a4bc-4deb-92c1-0e60f854fe45
"adficio similique","Lavon Fritsch",Science Fiction,1973,d2a179ac-04a1-49ba-8ed5-b5020f53891b
"triumphus trucido apostolus totam tricesimus","Mohammed Nikolaus",Fantasy,1997,3d265c19-dd3b-41c3-af24-f2cf6fea34f5
"repellendus repudiandae agnosco decipio","Kaci Leuschke",Fantasy,1995,015cfc59-91dc-46e9-a415-6b36dea26f4e
"cariosus dolorum vivo","Lionel Wiegand",Biography,2015,4be8442d-3f5c-46ca-aa0c-d89af90b5a52
"ars volubilis utilis","Bella Bernhard",Mystery,1950,b1bafdbc-19ec-4fd0-9e6b-851595279c79
"aetas aperio","Jayde Hermann",Fiction,1997,9908ab03-462f-47a4-abac-ee73bc9dd5e6
"decimus patrocinor nisi recusandae","Krystel Sanford",History,1962,f5b26b30-39cd-4712-a9c4-3c4e6a2296f6
"summopere certus vilis vesica voluptatem","Oscar Jakubowski",Thriller,2000,5f1cf443-6392-4331-a17d-ef3935950dae
"fugiat utrum vicinus","Gilberto Turcotte",Thriller,1990,8054fd97-b9a1-4ab4-b7bc-e54c1ec8b1f2
